Time,,prod16.dc4,prod08.ld5,prod11.dc4,prod34.dc4,prod40.la3,prod50.dc4,prod14.dc4,prod81.dc4,prod03.dc4,prod41.la3
2018/12/10 10:35:00,PST,4.71,3.565,4.445,4.995,3.155,2.4817,2.7883,2.3667,3.4383,2.06
2018/12/10 10:36:00,PST,1.7217,4.9283,2.2483,3.8133,2.5017,4.5583,2.8333,2.545,3.3583,2.0883
2018/12/10 10:37:00,PST,2.5167,4.4117,4.4533,5.9717,2.5917,2.8383,2.92,2.3667,3.855,2.1433
2018/12/10 10:38:00,PST,20.1783,3.6217,3.8783,5.3233,2.6517,2.365,2.785,2.435,3.58,2.1033
2018/12/10 10:39:00,PST,13.1567,4.13,3.2283,4.8583,2.68,2.51,2.4133,2.3983,2.565,2.2183
2018/12/10 10:40:00,PST,8.2017,5.235,4.0083,3.8017,2.6,4.26,2.7,2.4783,3.0833,2.0067
2018/12/10 10:41:00,PST,17.5017,3.44,4.6267,3.5267,2.6883,2.1083,2.5217,2.565,3.0067,2.0633
2018/12/10 10:42:00,PST,10.8167,3.6083,4.425,7.48,2.5,2.0083,2.8117,2.6817,2.9783,2.0533
2018/12/10 10:43:00,PST,7.9917,3.8867,3.385,2.1,2.9067,1.9217,2.765,2.425,4.215,2.585
2018/12/10 10:44:00,PST,1.885,3.6267,3.515,3.275,2.6833,4.38,2.2117,2.3917,3.1333,1.8983
2018/12/10 10:45:00,PST,2.945,7.1667,4.195,3.6417,2.9283,2.085,2.5017,2.4467,3.1183,2.28
2018/12/10 10:46:00,PST,18.3767,5.585,2.3,2.9367,2.4633,2.2783,2.6933,2.4683,2.8883,2.11
2018/12/10 10:47:00,PST,14.0167,7.165,4.9067,3.3017,3.1317,2.2567,2.6833,2.4233,2.21,2.19
2018/12/10 10:48:00,PST,8.0117,4.3517,5.1,2.5733,2.84,2.1917,2.2083,2.145,2.84,2.1033
2018/12/10 10:49:00,PST,15.445,6.0517,4.1767,7.3283,2.695,4.3483,2.42,2.1583,3.18,2.1317
2018/12/10 10:50:00,PST,2.05,4.2233,3.5067,2.8,2.6717,1.9667,3.435,2.2433,2.5383,2.1683
2018/12/10 10:51:00,PST,16.31,3.9933,2.5567,2.8933,2.915,2.0717,2.6517,2.1083,3.6417,2.09
2018/12/10 10:52:00,PST,3.1667,4.0383,4.0867,3.4133,2.665,1.96,2.8383,3.4283,4.175,2.0133
2018/12/10 10:53:00,PST,1.9817,4.55,4.315,2.2133,2.675,4.5167,2.8183,2.3317,2.8083,2.1383
2018/12/10 10:54:00,PST,1.89,4.6683,5.1083,6.5883,2.7317,1.9233,2.1967,2.2217,3.4967,2.0483
2018/12/10 10:55:00,PST,1.905,3.7733,5.7133,2.5683,2.7333,2.1033,2.6267,2.035,3.4917,2.05
2018/12/10 10:56:00,PST,1.8267,3.9567,3.0133,4.6183,2.6183,5.5283,2.8183,2.2033,3.2717,2.0217
2018/12/10 10:57:00,PST,1.7683,5.0867,4.2383,3.4783,2.6017,2.1267,2.6683,2.1567,3.0583,2.0817
2018/12/10 10:58:00,PST,1.9333,4.1367,2.375,2.7033,2.645,4.165,2.8083,2.26,3.8033,1.9967
2018/12/10 10:59:00,PST,1.8033,5.035,4.1033,3.3083,2.7017,2.4433,2.1,2.195,3.1617,2.0
2018/12/10 11:00:00,PST,1.9433,4.515,2.9683,4.7533,3.0933,3.24,2.565,2.2167,3.8583,2.34
2018/12/10 11:01:00,PST,1.775,4.12,3.9467,5.7683,2.7983,4.6167,3.21,2.3933,3.4167,2.1967
2018/12/10 11:02:00,PST,1.7483,3.6783,4.615,3.6133,2.7967,2.6917,2.7883,2.5833,3.0017,2.2717
2018/12/10 11:03:00,PST,2.2183,6.6283,4.785,2.355,2.6667,2.7667,2.645,2.5517,3.32,2.4033
2018/12/10 11:04:00,PST,1.8333,3.8067,4.3633,3.6817,2.7817,2.7,2.2383,2.49,3.1283,2.38
2018/12/10 11:05:00,PST,1.7967,5.77,4.1483,4.3317,3.1233,4.7852,2.5133,2.425,3.4883,2.285
2018/12/10 11:06:00,PST,1.6333,4.6317,3.14,3.3033,2.5883,3.4339,2.7017,2.455,3.3917,2.3367
2018/12/10 11:07:00,PST,1.7217,6.25,4.3467,4.18,2.8717,3.0267,2.6683,2.455,3.96,2.1083
2018/12/10 11:08:00,PST,1.765,4.2117,2.515,3.625,3.1333,5.0017,2.5183,2.59,2.8083,2.2
2018/12/10 11:09:00,PST,1.67,5.0233,4.0983,6.2567,3.39,2.2233,2.3,2.3567,3.8417,2.0583
2018/12/10 11:10:00,PST,1.6933,3.9017,5.5517,4.3517,2.94,1.9617,2.655,2.5783,2.5717,2.1817
2018/12/10 11:11:00,PST,1.615,7.0633,3.0233,3.0233,3.1533,4.295,2.74,2.42,2.7317,2.0717
2018/12/10 11:12:00,PST,1.685,3.755,4.0667,3.4217,3.0483,2.2367,2.855,2.5467,3.7,2.1967
2018/12/10 11:13:00,PST,2.3317,4.2233,2.5,2.395,3.2617,2.47,2.7033,2.5,3.255,1.9333
2018/12/10 11:14:00,PST,20.035,3.5567,4.33,4.43,2.965,5.3083,2.5867,2.37,4.0917,2.1717
2018/12/10 11:15:00,PST,10.6733,5.7517,3.18,3.675,3.055,2.1683,2.7683,2.24,3.6733,2.43
2018/12/10 11:16:00,PST,8.8683,4.1867,3.3233,2.2317,2.6183,1.9133,4.0267,2.39,15.0467,2.045
2018/12/10 11:17:00,PST,1.58,3.84,6.2567,4.9617,3.48,4.08,2.7333,2.3667,2.68,1.95
2018/12/10 11:18:00,PST,9.5683,3.8767,2.475,3.7683,2.4167,1.9433,2.5117,2.2667,2.7017,2.3167
2018/12/10 11:19:00,PST,11.045,4.535,4.4267,2.4783,2.7083,1.945,2.45,2.0183,2.12,2.0633
2018/12/10 11:20:00,PST,17.2033,5.3183,2.8417,6.43,2.8233,1.9433,2.585,2.0417,2.8283,2.2283
2018/12/10 11:21:00,PST,1.63,4.3633,3.4583,2.81,2.8833,3.87,2.4767,2.1567,3.66,2.08
2018/12/10 11:22:00,PST,1.895,4.5667,3.95,4.3783,2.7867,2.0767,2.705,2.0833,2.35,1.9783
2018/12/10 11:23:00,PST,18.5083,4.885,2.355,2.48,2.7883,2.0133,2.6717,2.11,2.685,2.1
2018/12/10 11:24:00,PST,1.905,3.945,4.33,3.385,3.295,3.9312,2.4483,2.24,3.2233,2.4733
2018/12/10 11:25:00,PST,2.7967,3.7467,5.85,4.8517,2.7483,1.8848,2.7383,1.8833,2.6017,1.9367
2018/12/10 11:26:00,PST,18.5967,4.4583,4.185,3.7617,2.6967,2.155,2.4917,2.3717,2.4783,2.7717
2018/12/10 11:27:00,PST,12.6333,3.6583,4.2717,4.155,2.7016,4.0,2.7433,2.19,2.5517,2.0683
2018/12/10 11:28:00,PST,6.9617,5.4167,2.3617,2.3317,2.6881,2.1633,2.6033,2.205,2.8917,1.9717
2018/12/10 11:29:00,PST,1.7133,3.6467,4.7067,3.5283,2.705,1.7067,2.2967,2.3833,4.0033,2.2667
2018/12/10 11:30:00,PST,14.9967,3.6067,3.0217,2.3083,2.58,4.77,2.315,3.5,3.4867,2.2283
2018/12/10 11:31:00,PST,5.7533,4.46,3.7483,2.4183,2.8783,2.53,2.4917,2.235,2.8633,2.0483
2018/12/10 11:32:00,PST,1.5583,3.885,6.345,3.0933,2.725,2.8033,2.4717,2.5217,2.44,2.0
2018/12/10 11:33:00,PST,15.6733,3.3633,2.23,2.0933,2.6733,5.015,2.4667,2.5367,2.5033,2.1117
2018/12/10 11:34:00,PST,5.6517,3.4267,5.0417,3.4433,2.755,2.41,2.5683,2.4667,2.5633,2.2667
2018/12/10 11:35:00,PST,1.6183,6.25,3.7367,2.84,2.6583,2.36,2.2433,2.2217,2.05,1.9633
2018/12/10 11:36:00,PST,14.415,3.6317,3.6617,2.3283,2.575,4.7867,2.525,2.425,3.6367,2.3567
2018/12/10 11:37:00,PST,7.6667,3.525,4.585,4.2167,2.8,2.4467,2.575,2.375,3.165,1.88
2018/12/10 11:38:00,PST,16.0667,3.8467,2.69,2.1117,2.665,2.1583,2.3017,2.56,2.9267,2.0767
2018/12/10 11:39:00,PST,13.7217,3.1667,7.125,4.11,2.585,2.05,2.5267,2.3317,3.8717,2.1017
2018/12/10 11:40:00,PST,4.3667,3.53,3.9467,3.2233,2.6417,4.8317,2.035,2.3117,2.4467,2.0533
2018/12/10 11:41:00,PST,1.5183,5.6567,4.05,2.6567,3.0133,2.03,2.4533,2.6417,2.69,2.0017
2018/12/10 11:42:00,PST,18.7,3.5833,4.8233,3.4767,2.5767,2.135,2.54,2.68,2.87,2.2217
2018/12/10 11:43:00,PST,2.4833,5.1983,2.5283,2.64,2.855,4.2817,3.2883,2.6133,2.81,2.005
2018/12/10 11:44:00,PST,1.6883,3.5917,5.1467,3.7333,2.5667,2.245,2.4567,2.5317,3.2133,1.9933
2018/12/10 11:45:00,PST,18.4517,3.1317,6.0983,2.3983,2.5767,1.9733,2.2517,2.35,2.8533,2.1267
